,company,category,date,review,note
0,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                15 mars 2021
            ","
                Magasin top, accueil génial et de bon conseil !
            ",5
1,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                14 mars 2021
            ","
                Très bon choix de vins et de whiskys..bon acceuil ! Je recommande cette cave. Merci
            ",5
2,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                13 mars 2021
            ","
                Très bon accueil, bon conseil et choix important
            ",5
3,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                13 mars 2021
            ","
                Accueil excellent et très chaleureux avec des conseils qui nous donne la possibilité de prévoir et optimiser notre achat.
            ",5
4,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                13 mars 2021
            ","
                Tres Bon accueil
            ",4
5,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                12 mars 2021
            ","
                C'est ma première visite et je ne regrette pas.Encore merci pour les conseils et à bientôt
            ",5
6,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                12 mars 2021
            ","
                Accueil, renseignements très professionnels.
            ",4
7,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                11 mars 2021
            ","
                Beaucoup de choix, accueil sympathique.
            ",5
8,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                10 mars 2021
            ",,5
9,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                10 mars 2021
            ","
                Magasin spacieux et personnel très sympathique. Donne de bons conseils.
            ",5
10,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                9 mars 2021
            ","
                Accueil sympathique, conseil avisé, offre fournie et ciblée, prix bons... je recommande
            ",5
11,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                9 mars 2021
            ","
                Accueil jovial, très bonne explicationDécouverte toujours magique
            ",5
12,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                8 mars 2021
            ","
                merci pour votre accueil, demoiselle très gentille, de l'humour, merci pour son expertise pour le choix des vins. ça fait du bien. a bientôt
            ",5
13,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                8 mars 2021
            ","
                Stationnement très aisé, accueil excellent, choix diversifiés, la personne présent proche de sa clientèle, conseils éclairés, des produits sont en dégustation y compris des alcools et notamment du wisky.        En bref un commerce ou l'on a envie de revenir.
            ",5
14,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                6 mars 2021
            ","
                Première visite pour moi. Un très bon accueil. Et de super conseil, à l’écoute. Merci à vous !
            ",5
15,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                6 mars 2021
            ","
                Repond a nos questions et nos attente sans vouloir forcer la vente
            ",5
16,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                6 mars 2021
            ","
                Accueil parfait, conseils très pertinents. Le patron est un passionné ! A partir de là, tout est dit !
            ",5
17,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                6 mars 2021
            ",,5
18,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                6 mars 2021
            ","
                Super sympa il y a le choix tout est parfait
            ",5
19,"
                        Comptoir des Vignes
                    ",food_beverages_tobacco,"
Date de l'expérience:
                6 mars 2021
            ","
                Très bon acceuil Et prix vraiment moins cher qu'ailleurs
            ",5
20,"
                        Belleville Brulerie - Paris
                    ",food_beverages_tobacco,"
Date de l'expérience:
                15 mars 2021
            ","
                Cette idée cadeau pour faire découvrir de nouveaux café est vraiment très sympa. On suit facilement la livraison pas à pas.
            ",5
21,"
                        Belleville Brulerie - Paris
                    ",food_beverages_tobacco,"
Date de l'expérience:
                13 mars 2021
            ",,4
22,"
                        Belleville Brulerie - Paris
                    ",food_beverages_tobacco,"
Date de l'expérience:
                26 février 2021
            ","
                Un endroit sympathique des café savoureux et une ambiance de qualité malgré la  COVID En entrant on est marqué par les délicieuses  odeurs de cafés qui ont été parfaitement grillés À voir absolument pour ensuite apprécier de retour chez soi ces petites merveilles
            ",5
23,"
                        Belleville Brulerie - Paris
                    ",food_beverages_tobacco,"
Date de l'expérience:
                11 mars 2021
            ",,5
24,"
                        Belleville Brulerie - Paris
                    ",food_beverages_tobacco,"
Date de l'expérience:
                10 mars 2021
            ","
                Rien a dire sinon que le service sérieux et très rapide.
            ",5
25,"
                        Belleville Brulerie - Paris
                    ",food_beverages_tobacco,"
Date de l'expérience:
                9 mars 2021
            ",,4
26,"
                        Belleville Brulerie - Paris
                    ",food_beverages_tobacco,"
Date de l'expérience:
                29 janvier 2021
            ","
                Mon expérience me permet de vous recommander sans hésiter Brûlerie Belleville Paris. J’ai commandé un moulin à café manuel et ai été enchanté de pouvoir l’étrenner avec des grains « Café Mistral » torréfiés la veille de l’envoi du colis. J’ai eu des questions et le service client a su adapter le service au delà des mes attentes. La communication a été excellente. Colis réceptionné en un temps record.
            ",5
27,"
                        Belleville Brulerie - Paris
                    ",food_beverages_tobacco,"
Date de l'expérience:
                5 mars 2021
            ","
                RAS très bon accueil & conseils avisés. Les tarifs peuvent paraître élevés pour du café mais rapporter au kilo vous êtes dans les standards au vue de la concurrence.
            ",5
28,"
                        Belleville Brulerie - Paris
                    ",food_beverages_tobacco,"
Date de l'expérience:
                1 mars 2021
            ","
                Très bon produit, avec des matériaux de qualité.
            ",5
29,"
                        Belleville Brulerie - Paris
                    ",food_beverages_tobacco,"
Date de l'expérience:
                1 mars 2021
            ","
                Le café est superbe et correspond parfaitement à la description . C’etait un cadeau et il a vraiment été apprécié 🙂
            ",5
30,"
                        Belleville Brulerie - Paris
                    ",food_beverages_tobacco,"
Date de l'expérience:
                13 février 2021
            ","
                Café La Pantoufle... pantouflard en effet. Ça ronronne d’ennui.Livraison hyper rapide ( quelques heures).
            ",3
